query,before_retrieved_sources,after_retrieved_sources,changed
Что такое LoRA и как она работает?,"Эмбеддинги и векторные представления, Эмбеддинги и векторные представления, RAG — Retrieval-Augmented Generation","LoRA — Low-Rank Adaptation для файнтюнинга LLM, LoRA — Low-Rank Adaptation для файнтюнинга LLM, Эмбеддинги и векторные представления",True
Расскажи про квантование моделей,"Эмбеддинги и векторные представления, Перекрестная проверка (Cross-Validation), BERT и контекстные эмбеддинги","Квантование нейронных сетей, Квантование нейронных сетей, Квантование нейронных сетей",True
Как оценить качество эмбеддингов?,"Эмбеддинги и векторные представления, Эмбеддинги и векторные представления, BERT и контекстные эмбеддинги","Эмбеддинги и векторные представления, Оценка качества эмбеддингов, Эмбеддинги и векторные представления",True
Какие есть методы PEFT?,"Эмбеддинги и векторные представления, Регуляризация: L1, L2, Dropout, Эмбеддинги и векторные представления","PEFT — Parameter-Efficient Fine-Tuning, PEFT — Parameter-Efficient Fine-Tuning, Квантование нейронных сетей",True
